iter	Passed	Remaining
0	1	105
1	1	62
2	1	48
3	1	40
4	1	36
5	2	34
6	2	32
7	2	32
8	3	31
9	3	30
10	3	29
11	3	28
12	4	28
13	4	27
14	4	26
15	4	25
16	5	25
17	5	24
18	5	24
19	5	23
20	6	23
21	6	22
22	6	22
23	6	21
24	7	21
25	7	20
26	7	20
27	7	19
28	7	19
29	8	19
30	8	18
31	8	18
32	8	17
33	9	17
34	9	17
35	9	16
36	9	16
37	9	16
38	10	15
39	10	15
40	10	15
41	10	14
42	10	14
43	11	14
44	11	13
45	11	13
46	11	13
47	11	12
48	12	12
49	12	12
50	12	12
51	12	11
52	13	11
53	13	11
54	13	10
55	13	10
56	13	10
57	14	10
58	14	9
59	14	9
60	14	9
61	15	9
62	15	9
63	15	8
64	15	8
65	16	8
66	16	8
67	16	7
68	16	7
69	17	7
70	17	7
71	17	6
72	17	6
73	17	6
74	18	6
75	18	5
76	18	5
77	18	5
78	19	5
79	19	4
80	19	4
81	19	4
82	20	4
83	20	3
84	20	3
85	20	3
86	20	3
87	21	2
88	21	2
89	21	2
90	21	2
91	22	1
92	22	1
93	22	1
94	22	1
95	23	0
96	23	0
97	23	0
98	23	0
99	24	0
